CustomerID,Age,Gender,Region,SubscriptionPlan,Tenure months,MonthlySpend,SupportTickets,LastLoginDaysAgo,Churn,ChurnStatus
CUST1000,56,Female,East,Basic,13,629.45,2,6,1,Churned
CUST1001,69,Male,North,Standard,33,1016.46,1,21,1,Churned
CUST1002,46,Male,North,Premium,6,1111.01,0,73,0,Stayed
CUST1003,32,Female,North,Standard,24,831.26,1,52,0,Stayed
CUST1004,60,Male,West,Standard,19,834.95,0,78,0,Stayed
CUST1005,25,Male,South,Premium,16,1169.42,0,78,0,Stayed
CUST1006,38,Female,West,Standard,28,318.99,2,3,1,Churned
CUST1007,56,Male,North,Premium,33,709.31,1,22,0,Stayed
CUST1008,36,Male,South,Standard,13,1282.45,0,69,0,Stayed
CUST1009,40,Male,North,Premium,25,1023.86,2,87,0,Stayed
CUST1010,28,Female,West,Basic,27,704.67,1,83,1,Churned
CUST1011,28,Female,West,Premium,7,1386.63,1,83,0,Stayed
CUST1012,41,Female,West,Premium,5,1227.15,1,75,0,Stayed
CUST1013,53,Male,North,Premium,31,617.87,2,32,0,Stayed
CUST1014,57,Male,South,Premium,23,1074.35,2,27,1,Churned
CUST1015,41,Female,South,Standard,10,1014.9,3,7,0,Stayed
CUST1016,20,Male,North,Basic,32,781.43,0,0,0,Stayed
CUST1017,39,Male,South,Premium,30,740.35,3,36,0,Stayed
CUST1018,19,Female,North,Standard,31,712.27,0,62,0,Stayed
CUST1019,41,Female,South,Basic,18,1040.59,4,21,0,Stayed
CUST1020,61,Male,East,Basic,2,830.89,0,69,1,Churned
CUST1021,47,Male,East,Basic,14,1298.24,1,20,1,Churned
CUST1022,55,Male,West,Basic,13,1103.52,0,34,0,Stayed
CUST1023,19,Female,East,Premium,29,383.92,1,78,1,Churned
CUST1024,38,Female,East,Premium,12,1068.2,2,4,0,Stayed
CUST1025,50,Female,East,Standard,2,625.38,2,59,1,Churned
CUST1026,29,Female,North,Standard,32,1011.37,4,45,1,Churned
CUST1027,39,Male,East,Standard,13,1116.16,1,49,0,Stayed
CUST1028,61,Female,East,Basic,27,577,2,47,1,Churned
CUST1029,42,Female,West,Basic,17,848.23,0,5,0,Stayed
CUST1030,66,Female,East,Premium,31,528.39,0,88,0,Stayed
CUST1031,44,Female,East,Basic,34,362.81,3,55,0,Stayed
CUST1032,59,Female,South,Basic,24,754.17,0,58,0,Stayed
CUST1033,45,Male,West,Basic,35,735.53,2,28,1,Churned
CUST1034,33,Male,West,Standard,6,1494.58,3,70,1,Churned
CUST1035,32,Female,West,Standard,19,835.62,0,76,0,Stayed
CUST1036,64,Male,West,Premium,30,700.28,1,17,1,Churned
CUST1037,68,Female,West,Basic,7,996.57,1,1,1,Churned
CUST1038,61,Female,West,Basic,10,406.52,1,7,0,Stayed
CUST1039,69,Male,North,Premium,32,1454,2,74,0,Stayed
CUST1040,20,Male,East,Basic,34,1061.95,0,53,0,Stayed
CUST1041,54,Female,West,Basic,28,1205.81,2,37,0,Stayed
CUST1042,68,Female,East,Standard,15,504.57,1,47,1,Churned
CUST1043,24,Female,East,Premium,30,791.37,3,26,0,Stayed
CUST1044,38,Male,North,Premium,29,807.23,1,19,1,Churned
CUST1045,26,Female,West,Premium,22,1286.17,0,11,0,Stayed
CUST1046,56,Female,South,Premium,4,301.48,3,42,0,Stayed
CUST1047,35,Female,North,Standard,20,661.02,0,60,0,Stayed
CUST1048,21,Male,South,Standard,32,1477.48,1,30,0,Stayed
CUST1049,42,Female,East,Basic,4,869.86,1,60,0,Stayed
CUST1050,31,Female,East,Basic,27,759.03,0,73,0,Stayed
CUST1051,67,Male,North,Basic,17,443.79,2,66,0,Stayed
CUST1052,26,Female,North,Basic,12,1469,0,34,0,Stayed
CUST1053,43,Female,South,Standard,22,324.03,1,14,0,Stayed
CUST1054,19,Male,West,Premium,17,1184.62,1,15,1,Churned
