 CustomerID , Age , Gender , Region , SubscriptionPlan , Tenure months , MonthlySpend , SupportTickets , LastLoginDaysAgo , Churn , ChurnStatus 
 CUST1000 , 56.00 , Female , East , Basic , 13.00 , ? 629.45 , 2.00 , 6.00 , 1.00 , Churned 
 CUST1001 , 69.00 , Male , North , Standard , 33.00 ," ? 1,016.46 ", 1.00 , 21.00 , 1.00 , Churned 
 CUST1002 , 46.00 , Male , North , Premium , 6.00 ," ? 1,111.01 ", -   , 73.00 , -   , Stayed 
 CUST1003 , 32.00 , Female , North , Standard , 24.00 , ? 831.26 , 1.00 , 52.00 , -   , Stayed 
 CUST1004 , 60.00 , Male , West , Standard , 19.00 , ? 834.95 , -   , 78.00 , -   , Stayed 
 CUST1005 , 25.00 , Male , South , Premium , 16.00 ," ? 1,169.42 ", -   , 78.00 , -   , Stayed 
 CUST1006 , 38.00 , Female , West , Standard , 28.00 , ? 318.99 , 2.00 , 3.00 , 1.00 , Churned 
 CUST1007 , 56.00 , Male , North , Premium , 33.00 , ? 709.31 , 1.00 , 22.00 , -   , Stayed 
 CUST1008 , 36.00 , Male , South , Standard , 13.00 ," ? 1,282.45 ", -   , 69.00 , -   , Stayed 
 CUST1009 , 40.00 , Male , North , Premium , 25.00 ," ? 1,023.86 ", 2.00 , 87.00 , -   , Stayed 
 CUST1010 , 28.00 , Female , West , Basic , 27.00 , ? 704.67 , 1.00 , 83.00 , 1.00 , Churned 
 CUST1011 , 28.00 , Female , West , Premium , 7.00 ," ? 1,386.63 ", 1.00 , 83.00 , -   , Stayed 
 CUST1012 , 41.00 , Female , West , Premium , 5.00 ," ? 1,227.15 ", 1.00 , 75.00 , -   , Stayed 
 CUST1013 , 53.00 , Male , North , Premium , 31.00 , ? 617.87 , 2.00 , 32.00 , -   , Stayed 
 CUST1014 , 57.00 , Male , South , Premium , 23.00 ," ? 1,074.35 ", 2.00 , 27.00 , 1.00 , Churned 
 CUST1015 , 41.00 , Female , South , Standard , 10.00 ," ? 1,014.90 ", 3.00 , 7.00 , -   , Stayed 
 CUST1016 , 20.00 , Male , North , Basic , 32.00 , ? 781.43 , -   , -   , -   , Stayed 
 CUST1017 , 39.00 , Male , South , Premium , 30.00 , ? 740.35 , 3.00 , 36.00 , -   , Stayed 
 CUST1018 , 19.00 , Female , North , Standard , 31.00 , ? 712.27 , -   , 62.00 , -   , Stayed 
 CUST1019 , 41.00 , Female , South , Basic , 18.00 ," ? 1,040.59 ", 4.00 , 21.00 , -   , Stayed 
 CUST1020 , 61.00 , Male , East , Basic , 2.00 , ? 830.89 , -   , 69.00 , 1.00 , Churned 
 CUST1021 , 47.00 , Male , East , Basic , 14.00 ," ? 1,298.24 ", 1.00 , 20.00 , 1.00 , Churned 
 CUST1022 , 55.00 , Male , West , Basic , 13.00 ," ? 1,103.52 ", -   , 34.00 , -   , Stayed 
 CUST1023 , 19.00 , Female , East , Premium , 29.00 , ? 383.92 , 1.00 , 78.00 , 1.00 , Churned 
 CUST1024 , 38.00 , Female , East , Premium , 12.00 ," ? 1,068.20 ", 2.00 , 4.00 , -   , Stayed 
 CUST1025 , 50.00 , Female , East , Standard , 2.00 , ? 625.38 , 2.00 , 59.00 , 1.00 , Churned 
 CUST1026 , 29.00 , Female , North , Standard , 32.00 ," ? 1,011.37 ", 4.00 , 45.00 , 1.00 , Churned 
 CUST1027 , 39.00 , Male , East , Standard , 13.00 ," ? 1,116.16 ", 1.00 , 49.00 , -   , Stayed 
 CUST1028 , 61.00 , Female , East , Basic , 27.00 , ? 577.00 , 2.00 , 47.00 , 1.00 , Churned 
 CUST1029 , 42.00 , Female , West , Basic , 17.00 , ? 848.23 , -   , 5.00 , -   , Stayed 
 CUST1030 , 66.00 , Female , East , Premium , 31.00 , ? 528.39 , -   , 88.00 , -   , Stayed 
 CUST1031 , 44.00 , Female , East , Basic , 34.00 , ? 362.81 , 3.00 , 55.00 , -   , Stayed 
 CUST1032 , 59.00 , Female , South , Basic , 24.00 , ? 754.17 , -   , 58.00 , -   , Stayed 
 CUST1033 , 45.00 , Male , West , Basic , 35.00 , ? 735.53 , 2.00 , 28.00 , 1.00 , Churned 
 CUST1034 , 33.00 , Male , West , Standard , 6.00 ," ? 1,494.58 ", 3.00 , 70.00 , 1.00 , Churned 
 CUST1035 , 32.00 , Female , West , Standard , 19.00 , ? 835.62 , -   , 76.00 , -   , Stayed 
 CUST1036 , 64.00 , Male , West , Premium , 30.00 , ? 700.28 , 1.00 , 17.00 , 1.00 , Churned 
 CUST1037 , 68.00 , Female , West , Basic , 7.00 , ? 996.57 , 1.00 , 1.00 , 1.00 , Churned 
 CUST1038 , 61.00 , Female , West , Basic , 10.00 , ? 406.52 , 1.00 , 7.00 , -   , Stayed 
 CUST1039 , 69.00 , Male , North , Premium , 32.00 ," ? 1,454.00 ", 2.00 , 74.00 , -   , Stayed 
 CUST1040 , 20.00 , Male , East , Basic , 34.00 ," ? 1,061.95 ", -   , 53.00 , -   , Stayed 
 CUST1041 , 54.00 , Female , West , Basic , 28.00 ," ? 1,205.81 ", 2.00 , 37.00 , -   , Stayed 
 CUST1042 , 68.00 , Female , East , Standard , 15.00 , ? 504.57 , 1.00 , 47.00 , 1.00 , Churned 
 CUST1043 , 24.00 , Female , East , Premium , 30.00 , ? 791.37 , 3.00 , 26.00 , -   , Stayed 
 CUST1044 , 38.00 , Male , North , Premium , 29.00 , ? 807.23 , 1.00 , 19.00 , 1.00 , Churned 
 CUST1045 , 26.00 , Female , West , Premium , 22.00 ," ? 1,286.17 ", -   , 11.00 , -   , Stayed 
 CUST1046 , 56.00 , Female , South , Premium , 4.00 , ? 301.48 , 3.00 , 42.00 , -   , Stayed 
 CUST1047 , 35.00 , Female , North , Standard , 20.00 , ? 661.02 , -   , 60.00 , -   , Stayed 
 CUST1048 , 21.00 , Male , South , Standard , 32.00 ," ? 1,477.48 ", 1.00 , 30.00 , -   , Stayed 
 CUST1049 , 42.00 , Female , East , Basic , 4.00 , ? 869.86 , 1.00 , 60.00 , -   , Stayed 
 CUST1050 , 31.00 , Female , East , Basic , 27.00 , ? 759.03 , -   , 73.00 , -   , Stayed 
